session_test_id,age,gender,num_mushra,num_spatial,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,reference,100,97654,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,Mono,0,97654,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,Harpex,73,97654,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,Param2,100,80857,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,FOA,76,80857,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,Param1,100,80857,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,Harpex,83,80857,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,FOA-Amb-Param1,100,80857,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,reference,100,80857,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,Mono,0,80857,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_anech,FOA-Amb-Param2,100,80857,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",FOA-Amb-Param1,100,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",reference,89,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",Harpex,79,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",Param1,59,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",FOA-Amb-Param2,100,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",Param2,60,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",Mono,0,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"speech noise_strongrev",FOA,79,289700,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,Param1,82,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,FOA-Amb-Param2,86,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,Harpex,70,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,Mono,0,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,FOA-Amb-Param1,85,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,reference,100,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,FOA,63,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_anech,Param2,100,166223,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,reference,100,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,FOA,84,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,Mono,0,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,Param1,61,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,FOA-Amb-Param2,100,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,Harpex,74,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,FOA-Amb-Param1,100,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,two_speakers_strongrev,Param2,70,204697,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",reference,100,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",Param2,29,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",Harpex,49,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",Param1,36,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",FOA,43,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",FOA-Amb-Param1,71,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",FOA-Amb-Param2,83,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_medrev",Mono,0,139474,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,Harpex,61,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,FOA,42,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,FOA-Amb-Param1,26,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,Param1,12,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,FOA-Amb-Param2,100,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,Param2,100,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,reference,100,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,pink_noise_anech,Mono,0,122334,
param_amb,28,male,more_than_five,more_than_five,7e4209fe-4a89-438c-b3a5-f7ab0d19c885,"drums saw_strongrev",reference,100,108856,
